stmid,'storm id in NNB.YYYY format'
tcype,'TC lifetype type: TD (tropical depression <= 34 kt); TS (tropical storm >= 35 kt); TY (typhoon >= 65 kt); STY (super typhoon >= 130 kt)'
stmflg,'TC type NN - numbered TC; NONdev - non-developing pTC; DEV - pTC that developed into NN storm'
sname,'TC name'
maxv,'lifetime Vmax [kts]'
ndtc,'# days TC [d]'
ndstm,'# days TS or greater [d]'
blat,'beginning latitude [degN]'
blon,'beginning longitude [degE]'
bdtg,'beginning DTG YYYYMMDDHH'
edtg,'ending DTG YYYYMMDDHH'
minlat,'minimum latitude [degN]'
maxlat,'maximum longitude [degE]'
minlon,'maximum latitude [degN]'
maxlon,'maximum longtiude [degN]'
stcd,'scaled TC days [d]'
ace,'life-time scaled ACE [d]'
nri,'number of RI - rapid intensification >= 30 kts/24 h'
ned,'number of ED - explosive deepening  >= 50 kts/24 h'
nrw,'number of RW - rapid weakening <= 30kts/24 h'
ricode,'RI/RW/ED code'
9x,'title'
9xid,'if NN storms; the stmid of the pTC that became NN'
t2gen,'time from start of pTC to becoming a TC (as set by JTWC/NHC)'
gendtg,'DTG of genesis YYYYMMDDHH'
wncode,'warning status at genesis time'
