stmid,tctype,stmtype,sname,maxv,ndtc,ndstm,blat,blon,bdtg,edtg,minlat,maxlat,minlon,maxlon,stcd,ace,nri,ned,nrw,ricode,9x,9xid,t2gen,gendtg,wncode,
01w.1991,TY,NN,SHARON,65,10.5,12.5,7.5,137.1,1991030306,1991031518,4.4,12.0,110.9,156.1,5.4,3.3,0,0,0,NaN,9X,w01,60,1991030518,wn,
02w.1991,TY,NN,TIM,70,6.2,7.8,10.6,157.1,1991031800,1991032518,3.0,21.2,151.9,165.3,4.0,3.0,0,0,0,NaN,9X,w02,72,1991032100,wn,
03w.1991,TS,NN,VANESSA,45,5.8,8.2,9.8,125.3,1991042012,1991042818,3.9,20.3,110.4,145.0,2.3,1.0,0,0,0,NaN,9X,w03,72,1991042312,wn,
04w.1991,STY,NN,WALT,135,11.0,12.5,13.0,139.3,1991050400,1991051612,4.6,26.4,124.7,152.1,14.3,22.5,5,1,0,rrED,9X,w04,66,1991050618,wn,
05w.1991,TY,NN,YUNYA,110,4.8,5.2,15.6,123.3,1991061118,1991061700,11.0,22.6,120.3,127.2,3.7,4.0,4,2,4,ddED,9X,w05,30,1991061300,wn,
06w.1991,TY,NN,ZEKE,70,6.8,8.5,13.7,121.3,1991070600,1991071412,5.7,22.6,104.9,138.9,3.9,2.8,0,0,1,ddRW,9X,w06,84,1991070912,wn,
07w.1991,STY,NN,AMY,130,5.2,7.5,16.7,130.9,1991071218,1991072006,11.2,25.1,112.4,146.7,5.1,6.6,8,1,3,ddED,9X,w07,78,1991071600,wn,
08w.1991,TY,NN,BRENDAN,70,5.8,10.2,13.6,130.3,1991071500,1991072506,5.8,23.4,109.1,152.8,3.6,2.8,0,0,4,ddRW,9X,w08,144,1991072100,wn,
09w.1991,TY,NN,CAITLIN,90,8.0,11.5,18.0,135.6,1991071812,1991073000,5.0,39.1,125.9,157.0,7.0,7.5,1,0,0,rrRI,9X,w09,120,1991072312,wn,
10w.1991,TS,NN,DOUG,35,2.8,3.8,29.8,160.2,1991080706,1991081100,25.0,38.8,156.4,164.6,0.9,0.3,0,0,0,NaN,9X,w10,30,1991080812,wn,
11w.1991,TY,NN,ELLIE,80,10.8,11.2,24.6,141.7,1991080800,1991081906,19.5,27.5,118.6,161.0,7.6,6.4,1,0,0,rrRI,9X,w11,66,1991081018,wn,
12w.1991,TY,NN,FRED,100,7.0,10.0,16.6,119.4,1991080800,1991081800,10.3,20.7,103.0,132.9,5.5,5.8,1,0,2,ddRI,9X,w12,84,1991081112,wn,
13w.1991,TD,NN,NONAME,25,1.8,2.5,23.6,155.0,1991081106,1991081318,19.0,29.2,145.6,162.0,0.4,0.0,0,0,0,NaN,9X,w13,NaN,NaN,NaN,
14w.1991,TY,NN,GLADYS,65,9.0,10.8,27.0,138.7,1991081312,1991082406,17.5,35.9,122.9,158.5,6.2,5.0,0,0,0,NaN,9X,w14,60,1991081600,wn,
15w.1991,TD,NN,NONAME,30,4.8,8.2,27.2,138.8,1991082106,1991082912,22.4,35.9,128.6,147.1,1.2,0.0,0,0,0,NaN,9X,w15,NaN,NaN,NaN,
16w.1991,TS,NN,HARRY,40,3.2,4.5,27.7,135.8,1991082700,1991083112,19.7,40.2,132.7,146.2,1.4,0.6,0,0,0,NaN,9X,w16,72,1991083000,bt,
17w.1991,TY,NN,IVY,115,8.2,10.5,18.8,149.8,1991083100,1991091012,5.0,39.0,137.1,171.9,9.2,12.0,1,0,4,ddRI,9X,w17,54,1991090206,wn,
18w.1991,TS,NN,JOEL,50,4.8,6.5,20.3,117.8,1991090100,1991090712,18.1,25.5,114.0,125.9,2.0,1.0,0,0,0,NaN,9X,w18,66,1991090318,wn,
19w.1991,TY,NN,KINNA,90,4.2,6.5,21.0,135.3,1991090800,1991091412,11.0,38.0,127.4,142.6,3.7,4.0,5,0,1,ddRI,9X,w19,60,1991091012,wn,
20w.1991,TS,NN,LUKE,50,6.2,6.2,21.4,136.4,1991091306,1991091912,14.4,33.5,128.2,147.8,3.4,2.1,0,0,0,NaN,9X,w20,60,1991091518,wn,
21w.1991,STY,NN,MIREILLE,130,13.0,14.2,18.1,143.4,1991091312,1991092718,12.1,38.3,125.6,172.3,17.9,28.2,5,1,2,ddED,9X,w21,60,1991091600,wn,
22w.1991,TY,NN,NAT,110,17.2,17.2,20.0,119.4,1991091500,1991100206,15.3,25.6,116.0,125.9,12.0,11.0,4,1,5,ddED,9X,w22,24,1991091600,wn,
23w.1991,TY,NN,ORCHID,125,11.0,12.0,22.4,137.5,1991100100,1991101300,13.6,33.6,130.4,149.2,10.9,13.6,4,1,0,rrED,9X,w23,72,1991100400,wn,
24w.1991,TY,NN,PAT,120,9.5,12.0,18.5,155.6,1991100100,1991101300,8.0,40.2,149.4,164.0,9.5,12.3,6,3,0,rrED,9X,w24,108,1991100512,wn,
25w.1991,STY,NN,RUTH,145,12.5,15.2,13.8,135.7,1991101600,1991103106,6.0,23.5,119.6,156.0,12.9,19.9,7,2,7,ddED,9X,w25,114,1991102018,wn,
26w.1991,STY,NN,SETH,135,15.5,17.8,15.0,141.8,1991102806,1991111500,6.7,20.3,116.3,173.3,17.8,25.7,6,4,5,ddED,9X,w26,90,1991110100,wn,
27w.1991,TS,NN,THELMA,45,9.0,12.5,10.5,130.8,1991102700,1991110812,6.0,14.1,108.4,148.8,3.1,1.0,0,0,0,NaN,9X,w27,132,1991110112,wn,
28w.1991,TS,NN,VERNE,60,8.8,9.5,15.0,155.3,1991110300,1991111212,6.1,29.0,141.3,177.0,4.7,3.0,0,0,0,NaN,9X,w28,66,1991110518,wn,
29w.1991,TS,NN,WILDA,55,6.0,7.2,13.1,125.1,1991111218,1991112000,8.6,18.1,114.5,141.0,3.6,2.4,0,0,0,NaN,9X,w29,48,1991111418,wn,
30w.1991,STY,NN,YURI,150,13.0,15.8,10.3,157.7,1991111600,1991120118,4.0,34.3,139.0,171.0,13.4,21.6,9,0,3,ddRI,9X,w30,168,1991112300,wn,
31w.1991,TY,NN,ZELDA,80,7.8,10.0,12.0,167.7,1991112418,1991120418,3.8,24.0,156.1,181.4,5.9,5.4,0,0,0,NaN,9X,w31,72,1991112718,wn,
01l.1991,TS,NN,ANA,45,3.0,6.0,31.5,285.4,1991062912,1991070512,25.9,38.1,277.3,309.0,1.3,0.6,0,0,0,NaN,9X,l01,102,1991070318,wn,
02l.1991,TD,NN,TWO,30,1.2,1.2,23.3,262.8,1991070518,1991070700,23.2,23.4,262.0,263.8,0.3,0.0,0,0,0,NaN,9X,l02,NaN,NaN,wn,
03l.1991,TY,NN,BOB,100,11.5,14.5,38.6,314.9,1991081412,1991082900,25.0,51.9,282.7,350.1,6.8,5.6,3,0,4,ddRI,9X,l03,36,1991081600,wn,
04l.1991,TD,NN,FOUR,30,1.5,1.5,14.9,333.7,1991082412,1991082600,14.5,15.5,330.4,337.0,0.4,0.0,0,0,0,NaN,9X,l04,NaN,NaN,wn,
05l.1991,TD,NN,FIVE,30,4.0,4.0,11.2,322.7,1991082712,1991083112,10.0,12.5,306.5,335.0,1.1,0.0,0,0,0,NaN,9X,l05,24,1991082812,wn,
06l.1991,TY,NN,CLAUDETTE,110,8.8,10.2,31.5,310.6,1991090412,1991091418,25.9,37.0,296.7,334.1,8.0,9.4,6,0,2,ddRI,9X,l06,6,1991090418,wn,
07l.1991,TS,NN,DANNY,45,4.8,4.8,12.4,320.0,1991090618,1991091112,9.4,16.3,302.1,335.8,2.4,1.3,0,0,0,NaN,9X,l07,6,1991090700,wn,
08l.1991,TS,NN,ERIKA,50,4.2,4.2,33.1,319.8,1991090812,1991091218,23.5,39.5,306.9,338.5,2.1,1.1,0,0,0,NaN,9X,l08,6,1991090818,wn,
09l.1991,TS,NN,FABIAN,40,2.5,2.5,22.3,277.5,1991101412,1991101700,18.6,30.0,273.5,284.5,1.2,0.6,0,0,0,NaN,9X,l09,24,1991101512,wn,
10l.1991,TD,NN,TEN,25,1.0,1.0,13.8,315.0,1991102412,1991102512,13.4,14.2,311.7,317.7,0.3,0.0,0,0,0,NaN,9X,l10,6,1991102418,wn,
11l.1991,TY,NN,GRACE,65,4.0,4.0,29.9,294.0,1991102518,1991102918,27.0,32.6,291.5,301.0,3.0,2.5,0,0,0,NaN,9X,l11,48,1991102718,wn,
12l.1991,TY,NN,UNNAMED,65,5.0,5.0,39.9,295.9,1991102818,1991110218,36.0,46.3,288.5,304.5,4.0,3.3,0,0,1,ddRW,9X,l12,6,1991102900,bt,
01e.1991,TS,NN,ANDRES,60,3.5,3.8,10.6,236.9,1991051606,1991052000,10.0,11.0,235.5,238.2,2.1,1.5,2,0,1,ddRI,9X,e01,12,1991051618,wn,
02e.1991,TS,NN,BLANCA,50,7.2,7.2,12.5,244.9,1991061418,1991062200,10.1,14.5,229.5,257.0,3.5,1.8,0,0,0,NaN,9X,e02,42,1991061612,wn,
03e.1991,TY,NN,CARLOS,100,11.0,11.0,14.3,243.3,1991061612,1991062712,11.4,16.9,224.6,264.6,11.2,13.0,2,0,7,ddRI,9X,e03,6,1991061618,wn,
04e.1991,TY,NN,DELORES,75,6.2,6.2,16.9,253.5,1991062212,1991062818,12.7,20.1,248.1,259.1,4.0,3.2,1,0,3,ddRI,9X,e04,24,1991062312,wn,
05e.1991,TS,NN,FIVE,35,1.5,1.5,14.7,265.5,1991062812,1991063000,12.7,16.5,264.1,267.1,0.5,0.1,0,0,0,NaN,9X,e05,18,1991062906,wn,
06e.1991,TS,NN,ENRIQUE,55,6.2,6.2,13.7,231.1,1991071512,1991072118,9.4,16.7,219.1,248.1,3.3,2.0,1,0,0,rrRI,9X,e06,6,1991071518,wn,
07e.1991,TY,NN,FEFA,105,9.8,9.8,16.4,230.3,1991072906,1991080800,10.8,19.3,205.0,252.8,9.9,11.4,2,0,1,ddRI,9X,e07,6,1991072912,wn,
08e.1991,TY,NN,GUILLERMO,70,6.8,7.0,15.8,246.5,1991080318,1991081018,11.5,17.6,226.5,263.2,4.2,3.1,2,0,0,rrRI,9X,e08,12,1991080406,wn,
09e.1991,TS,NN,HILDA,55,6.2,6.2,21.0,246.3,1991080800,1991081406,13.3,33.1,237.9,258.2,2.9,1.5,0,0,0,NaN,9X,e09,NaN,NaN,wn,
10e.1991,TD,NN,TEN,30,1.5,1.5,18.8,252.9,1991091212,1991091400,17.0,20.3,252.5,253.3,0.4,0.0,0,0,0,NaN,9X,e10,6,1991091218,wn,
11e.1991,TS,NN,IGNACIO,50,3.5,3.5,16.2,257.1,1991091518,1991091906,12.5,17.8,256.0,258.0,1.8,1.0,0,0,0,NaN,9X,e11,12,1991091606,wn,
