stmid,tctype,stmtype,sname,maxv,ndtc,ndstm,blat,blon,bdtg,edtg,minlat,maxlat,minlon,maxlon,stcd,ace,nri,ned,nrw,ricode,9x,9xid,t2gen,gendtg,wncode,
01w.2000,STY,NN,DAMREY,155,8.8,8.8,16.1,136.1,2000050318,2000051212,6.2,28.3,131.5,148.9,7.7,10.7,8,3,6,ddED,9X,xxw,48,2000050518,wn,
02w.2000,TS,NN,LONGWANG,40,1.8,2.5,21.6,126.5,2000051718,2000052006,17.8,27.2,121.6,135.6,0.7,0.3,0,0,0,NaN,9X,xxw,24,2000051818,wn,
03w.2000,TD,NN,NONAME,30,1.2,1.5,19.4,120.2,2000052012,2000052200,17.7,21.0,116.2,125.1,0.3,0.0,0,0,0,NaN,9X,xxw,12,2000052100,wn,
04w.2000,TD,NN,NONAME,30,2.5,3.8,13.6,111.2,2000052900,2000060118,10.5,18.2,106.9,116.6,0.6,0.0,0,0,0,NaN,9X,xxw,42,2000053018,wn,
05w.2000,TY,NN,KIROGI,115,7.0,7.0,24.5,135.5,2000070200,2000070900,13.1,42.3,131.7,147.1,7.7,9.8,6,3,3,ddED,9X,xxw,6,2000070206,wn,
06w.2000,TY,NN,KAI-TAK,75,7.8,8.8,21.3,120.0,2000070206,2000071100,15.0,38.0,117.0,123.9,5.2,4.2,3,0,0,rrRI,9X,xxw,48,2000070406,wn,
07w.2000,TD,NN,NONAME,25,3.5,5.0,13.2,126.3,2000071000,2000071500,6.2,17.6,117.6,134.4,0.9,0.0,0,0,0,NaN,9X,xxw,66,2000071218,wn,
08w.2000,TD,NN,NONAME,25,3.0,3.2,18.5,113.7,2000071406,2000071712,16.0,22.6,112.0,116.3,0.8,0.0,0,0,0,NaN,9X,xxw,42,2000071600,wn,
09w.2000,TS,NN,TEMBIN,45,5.5,6.0,29.8,143.3,2000071700,2000072300,20.5,41.8,141.6,149.5,2.5,1.3,0,0,0,NaN,9X,xxw,18,2000071718,wn,
10w.2000,TD,NN,NONAME,25,3.0,3.5,15.4,127.8,2000071912,2000072300,12.0,17.9,122.1,130.8,0.8,0.0,0,0,0,NaN,9X,xxw,12,2000072000,wn,
11w.2000,TS,NN,BOLAVEN,50,7.0,7.8,26.9,127.6,2000072312,2000073106,17.8,38.2,121.7,131.1,3.9,2.5,0,0,0,NaN,9X,xxw,30,2000072418,wn,
12w.2000,TS,NN,CHANCHU,40,2.5,3.2,10.0,177.9,2000072612,2000072918,6.4,14.3,175.6,182.0,0.9,0.3,0,0,0,NaN,9X,xxw,36,2000072800,wn,
13w.2000,TY,NN,JELAWAT,125,10.5,11.0,26.1,134.9,2000073112,2000081112,21.7,31.8,118.9,155.2,13.7,19.5,6,4,5,ddED,9X,xxw,12,2000080100,wn,
14w.2000,TD,NN,NONAME,30,2.8,3.8,30.4,146.5,2000080618,2000081012,23.7,36.7,143.1,153.9,0.7,0.0,0,0,0,NaN,9X,xxw,36,2000080806,wn,
15w.2000,TY,NN,EWINIAR,75,10.8,11.2,30.5,144.4,2000080812,2000081918,14.1,39.7,135.5,150.9,7.0,5.5,5,0,2,ddRI,9X,xxw,18,2000080906,wn,
16w.2000,TS,NN,WENE,45,2.2,2.8,34.9,181.4,2000081412,2000081706,31.3,40.2,179.4,184.0,1.2,0.7,0,0,0,NaN,9X,xxw,18,2000081506,wn,
17w.2000,TD,NN,NONAME,25,2.0,2.2,32.3,173.5,2000081618,2000081900,29.9,35.6,169.0,179.5,0.5,0.0,0,0,0,NaN,9X,xxw,24,2000081718,wn,
18w.2000,STY,NN,BILIS,140,7.2,8.2,19.7,127.1,2000081706,2000082512,8.3,32.8,116.0,139.2,8.0,12.9,10,1,6,ddED,9X,xxw,24,2000081806,wn,
19w.2000,TS,NN,KAEMI,45,3.5,4.5,14.1,111.9,2000081812,2000082300,12.1,16.5,106.2,116.0,1.4,0.5,0,0,0,NaN,9X,xxw,42,2000082006,wn,
20w.2000,TY,NN,PRAPIROON,75,8.2,8.8,23.2,129.3,2000082318,2000090112,7.1,43.7,123.3,139.5,5.0,3.9,0,0,4,ddRW,9X,xxw,30,2000082500,wn,
21w.2000,TS,NN,MARIA,55,5.0,5.2,20.9,115.3,2000082712,2000090118,18.4,26.1,113.4,116.2,2.6,1.6,0,0,1,ddRW,9X,xxw,12,2000082800,wn,
22w.2000,STY,NN,SAOMAI,140,14.0,14.5,21.8,138.9,2000090118,2000091606,13.7,39.5,124.3,158.5,16.9,23.2,8,0,3,ddRI,9X,xxw,18,2000090212,wn,
23w.2000,TY,NN,WUKONG,95,5.8,6.5,18.0,113.8,2000090400,2000091012,16.7,19.0,104.8,117.8,4.6,4.7,3,0,3,ddRI,9X,xxw,30,2000090506,wn,
24w.2000,TS,NN,BOPHA,55,6.2,6.8,21.9,128.1,2000090506,2000091200,16.3,25.8,121.9,136.1,3.5,2.3,0,0,0,NaN,9X,xxw,12,2000090518,wn,
25w.2000,TY,NN,SONAMU,75,4.2,4.2,28.6,141.9,2000091400,2000091806,21.5,44.5,138.3,148.7,3.6,3.5,0,0,0,NaN,9X,xxw,6,2000091406,wn,
26w.2000,STY,NN,SHANSHAN,135,7.2,8.8,21.2,170.2,2000091518,2000092412,14.3,38.9,165.3,178.0,9.6,14.8,9,0,6,ddRI,9X,xxw,42,2000091712,wn,
27w.2000,TS,NN,NONAME,35,2.5,3.0,27.4,166.3,2000092718,2000093018,23.9,30.0,165.1,168.2,0.8,0.1,0,0,0,NaN,9X,xxw,24,2000092818,wn,
28w.2000,TS,NN,NONAME,40,7.0,8.2,13.9,111.4,2000100612,2000101418,10.3,17.6,109.5,113.0,2.4,0.8,0,0,0,NaN,9X,xxw,6,2000100618,wn,
29w.2000,TY,NN,YAGI,105,8.8,9.8,21.7,135.0,2000101812,2000102806,12.5,26.5,123.2,152.9,6.0,5.8,3,0,5,ddRI,9X,xxw,78,2000102118,wn,
30w.2000,TY,NN,XANGSANE,90,7.5,7.8,16.0,124.6,2000102500,2000110118,8.5,31.9,118.1,137.5,7.2,7.9,5,0,2,ddRI,9X,xxw,12,2000102512,wn,
31w.2000,TY,NN,BEBINCA,85,8.2,8.8,15.0,122.0,2000103006,2000110800,5.1,21.4,113.0,137.8,5.8,5.0,4,0,5,ddRI,9X,xxw,18,2000103100,wn,
32w.2000,TD,NN,NONAME,30,2.5,2.8,23.4,126.8,2000110712,2000111006,18.0,27.8,124.2,133.4,0.6,0.0,0,0,0,NaN,9X,xxw,12,2000110800,wn,
33w.2000,TS,NN,RUMBIA,55,9.8,11.0,10.0,119.3,2000112700,2000120800,8.0,11.9,106.3,132.8,4.4,2.3,0,0,0,NaN,9X,xxw,24,2000112800,wn,
34w.2000,TY,NN,SOULIK,110,7.2,7.8,13.9,132.5,2000122812,2001010506,6.9,18.3,127.5,137.2,6.0,6.2,4,2,4,ddED,9X,xxw,12,2000122900,wn,
01l.2000,TD,NN,ONE,25,1.2,1.2,21.0,266.7,2000060712,2000060818,20.7,22.0,266.0,267.2,0.4,0.0,0,0,0,NaN,9X,xxl,6,2000060718,wn,
02l.2000,TD,NN,TWO,30,2.8,2.8,9.9,331.5,2000062300,2000062518,9.5,10.2,321.8,340.2,0.8,0.0,0,0,0,NaN,9X,xxl,18,2000062318,wn,
03l.2000,TY,NN,ALBERTO,110,21.5,21.5,32.9,318.2,2000080318,2000082506,10.8,70.7,301.4,355.1,20.6,22.3,1,0,4,ddRI,9X,xxl,12,2000080406,wn,
04l.2000,TD,NN,FOUR,30,3.0,3.0,28.5,282.8,2000080812,2000081112,27.9,29.6,280.7,285.8,0.8,0.0,0,0,0,NaN,9X,xxl,24,2000080912,wn,
05l.2000,TS,NN,BERYL,45,3.0,3.0,23.2,264.8,2000081218,2000081518,21.0,25.2,260.2,267.5,1.2,0.5,0,0,0,NaN,9X,xxl,24,2000081318,wn,
06l.2000,TS,NN,CHRIS,35,2.5,2.8,15.6,305.8,2000081618,2000081912,13.7,18.3,299.6,311.5,0.8,0.1,0,0,0,NaN,9X,xxl,24,2000081718,wn,
07l.2000,TY,NN,DEBBY,75,6.0,6.0,15.6,303.6,2000081812,2000082412,10.0,20.0,283.0,322.9,4.2,3.4,3,0,2,ddRI,9X,xxl,30,2000081918,wn,
08l.2000,TS,NN,ERNESTO,35,4.2,4.2,15.6,315.2,2000083012,2000090318,12.6,20.0,302.0,329.6,1.5,0.4,0,0,0,NaN,9X,xxl,60,2000090200,wn,
09l.2000,TD,NN,NINE,30,1.0,1.0,28.2,266.6,2000090812,2000090912,25.9,30.0,266.0,267.6,0.3,0.0,0,0,0,NaN,9X,xxl,12,2000090900,wn,
10l.2000,TY,NN,FLORENCE,70,7.2,7.2,32.1,290.6,2000091012,2000091718,29.1,45.5,286.0,307.0,5.8,5.0,3,0,0,rrRI,9X,xxl,24,2000091112,wn,
11l.2000,TY,NN,GORDON,70,8.0,8.5,27.7,278.6,2000091218,2000092106,16.3,43.5,271.3,297.0,3.6,2.0,2,0,4,ddRI,9X,xxl,42,2000091412,wn,
12l.2000,TS,NN,HELENE,60,10.2,10.2,25.5,287.6,2000091512,2000092518,14.9,46.1,272.8,311.2,4.3,2.1,2,0,2,ddRI,9X,xxl,NaN,NaN,wn,
13l.2000,TY,NN,ISAAC,120,12.8,12.8,28.1,322.1,2000092112,2000100406,11.5,62.0,303.8,356.0,14.7,18.8,4,1,4,ddED,9X,xxl,NaN,NaN,wn,
14l.2000,TY,NN,JOYCE,80,7.0,7.0,11.4,314.3,2000092506,2000100206,10.3,12.5,295.1,332.2,5.1,4.5,2,0,0,rrRI,9X,xxl,12,2000092518,wn,
