dtg,'date-time-group YYYYMMDDHH',
stmid,'storm id in NNB.YYYY format',
osname,'storm name',
tcvmax,'max lifetime category: TD (tropical depression <= 34 kt); TS (tropical storm >= 35 kt); TY (typhoon >= 65 kt), STY (super typhoon >= 130 kt)',
tctype,'TC type NN - numbered TC; NONdev - non-developing pTC; DEV - pTC that developed into NN storm',
rlat,'BT latitude [degN]',
rlon,'BT longitude [degE]',
vmax,'BT max wind [kts]',
pmin,'BT central pressuer [hPa]',
dir,'BT direction of motion [deg]',
spd,'BT speed of motion [kts]',
trkdir,'Real-time direciton of motion [deg]',
trkspd,'Real-time speed of motion [kts]',
r34m,'mean radius of 34 kt winds [nmi]',
r34ne,'NE quadrant radius of 34 kt winds [nmi]',
r34se,'SE quadrant radius of 34 kt winds [nmi]',
r34sw,'SW quadrant radius of 34 kt winds [nmi]',
r34nw,'NW quadrant radius of 34 kt winds [nmi]',
r50m,'mean radius of 50 kt winds [nmi]',
r50ne,'NE quadrant radius of 50 kt winds [nmi]',
r50se,'SE quadrant radius of 50 kt winds [nmi]',
r50sw,'SW quadrant radius of 50 kt winds [nmi]',
r50nw,'NW quadrant radius of 50 kt winds [nmi]',
tccode,'TC code',
wncode,'Warning Code: WN in a warning status; NW - no warnings',
dirtype,'direction of motion type',
posttype,'post BT motion type',
roci,'BT ROCI [nmi]',
poci,'BT POCI [hPa]',
alf,'% land',
depth,'TC BT Depth code: S - shallow; M - medium; D - deep',
rmax,'BT radius of max wind',
tdo,'forecaster initials',
