stmid,tctype,stmtype,sname,maxv,ndtc,ndstm,blat,blon,bdtg,edtg,minlat,maxlat,minlon,maxlon,stcd,ace,nri,ned,nrw,ricode,9x,9xid,t2gen,gendtg,wncode,
01w.2007,TY,NN,KONG-REY,100,5.0,8.8,12.3,152.9,2007032800,2007040518,3.4,26.1,144.0,162.3,4.7,4.5,1,0,5,ddRI,9X,b2w,84,2007033112,wn,
02w.2007,STY,NN,YUTU,130,6.0,11.0,12.7,142.6,2007051118,2007052218,3.0,30.0,132.1,152.6,7.4,10.3,5,0,5,ddRI,9X,b0w,114,2007051612,wn,
03w.2007,TS,NN,TORAJI,35,1.8,3.2,18.9,109.6,2007070218,2007070600,14.9,22.5,105.6,112.6,0.6,0.1,0,0,0,NaN,9X,e2w,36,2007070406,wn,
04w.2007,TY,NN,MAN-YI,125,7.8,11.8,16.1,139.8,2007070406,2007071600,3.0,35.7,127.4,150.8,9.1,12.2,4,0,8,ddRI,9X,d4w,78,2007070712,wn,
05w.2007,TY,NN,USAGI,120,6.2,8.5,25.4,141.9,2007072618,2007080406,17.7,41.2,131.4,156.4,7.4,9.8,7,0,6,ddRI,9X,d7w,42,2007072812,wn,
06w.2007,TD,NN,NONAME,30,4.2,7.5,14.0,111.3,2007073100,2007080712,10.2,18.2,105.5,114.9,1.1,0.0,0,0,0,NaN,9X,d9w,66,2007080218,wn,
07w.2007,TY,NN,PABUK,70,5.0,5.8,21.0,124.5,2007080406,2007081000,17.8,22.3,112.0,138.2,3.3,2.5,0,0,1,ddRW,9X,c8w,24,2007080506,wn,
08w.2007,TD,NN,WUTIP,30,2.5,3.2,20.4,124.9,2007080612,2007080918,14.0,23.9,119.3,130.2,0.5,0.0,0,0,0,NaN,9X,d0w,24,2007080712,wn,
09w.2007,STY,NN,SEPAT,140,8.0,9.2,19.2,128.1,2007081012,2007081918,15.5,26.4,117.7,136.1,10.5,17.6,9,1,9,ddED,9X,e5w,42,2007081206,wn,
10w.2007,TY,NN,FITOW,80,9.8,12.8,25.9,148.4,2007082600,2007090718,12.7,42.7,138.4,157.0,10.6,11.7,4,0,3,ddRI,9X,f4w,66,2007082818,wn,
11w.2007,TY,NN,DANAS,65,4.0,7.5,30.2,156.8,2007090400,2007091112,23.3,41.2,148.3,165.1,3.5,2.8,0,0,0,NaN,9X,f7w,78,2007090706,wn,
12w.2007,TY,NN,NARI,125,4.5,7.2,24.4,133.0,2007090918,2007091700,17.6,37.7,126.0,140.8,5.3,7.1,7,4,6,ddED,9X,g1w,72,2007091218,wn,
13w.2007,STY,NN,WIPHA,135,4.5,7.0,22.1,127.6,2007091300,2007092000,14.5,35.1,118.9,134.6,5.3,7.5,8,4,5,ddED,9X,g2w,54,2007091506,wn,
14w.2007,TD,NN,NONAME,30,1.0,2.2,12.1,137.0,2007091900,2007092106,7.9,16.0,134.5,138.4,0.2,0.0,0,0,0,NaN,9X,g3w,36,2007092012,wn,
15w.2007,TS,NN,FRANCISCO,45,2.5,5.5,19.0,115.7,2007092006,2007092518,16.9,20.5,105.5,124.1,1.0,0.5,0,0,0,NaN,9X,g5w,66,2007092300,wn,
16w.2007,TY,NN,LEKIMA,70,4.2,5.5,16.4,112.3,2007092818,2007100406,14.7,17.9,102.6,122.1,3.6,3.2,0,0,2,ddRW,9X,g0w,30,2007093000,wn,
17w.2007,STY,NN,KROSA,130,7.2,9.5,20.5,126.8,2007092906,2007100818,14.5,29.7,120.0,132.5,9.5,14.8,9,0,6,ddRI,9X,h1w,54,2007100112,wn,
18w.2007,TS,NN,LINGLING,40,2.5,6.2,26.0,174.1,2007100900,2007101506,18.8,36.9,169.8,180.6,1.2,0.6,0,0,0,NaN,9X,h7w,78,2007101206,wn,
19w.2007,TY,NN,KAJIKI,115,3.0,6.2,22.3,148.3,2007101600,2007102206,15.4,36.2,140.6,162.0,4.3,5.9,7,3,3,ddED,9X,h0w,72,2007101900,wn,
20w.2007,TS,NN,FAXAI,40,1.0,3.2,20.1,134.8,2007102318,2007102700,14.6,27.7,130.9,140.4,0.6,0.3,0,0,0,NaN,9X,i4w,48,2007102518,wn,
21w.2007,TY,NN,PEIPAH,75,6.8,12.8,16.8,126.8,2007102818,2007111012,11.5,18.8,107.4,151.6,4.9,4.3,3,0,2,ddRI,9X,i6w,132,2007110306,wn,
22w.2007,TS,NN,TAPAH,35,2.0,6.0,17.9,147.5,2007110618,2007111218,12.9,26.4,139.9,156.0,0.8,0.3,0,0,0,NaN,9X,i0w,114,2007111112,wn,
23w.2007,TY,NN,HAGIBIS,80,8.5,9.8,10.5,117.6,2007111712,2007112706,7.2,12.5,111.3,128.8,5.6,4.6,0,0,0,NaN,9X,j2w,30,2007111818,wn,
24w.2007,TY,NN,MITAG,95,7.0,10.5,14.4,131.5,2007111712,2007112800,7.5,23.6,120.5,150.8,7.8,8.7,4,0,1,ddRI,9X,j3w,66,2007112006,wn,
25w.2007,TD,NN,NONAME,25,1.8,5.0,15.6,137.8,2007112300,2007112800,9.3,26.8,130.1,151.9,0.4,0.0,0,0,0,NaN,9X,j4w,78,2007112606,wn,
26w.2007,TD,NN,NONAME,25,0.5,5.2,14.6,141.0,2007112406,2007112912,5.3,29.9,136.7,149.0,0.3,0.0,0,0,0,NaN,9X,j5w,102,2007112812,wn,
27w.2007,TS,NN,HAIYAN,50,4.0,5.0,29.5,170.9,2007100212,2007100712,27.4,39.1,167.3,174.1,2.1,1.0,0,0,0,NaN,9X,h3w,0,2007100212,bt,
a0w.2007,TD,NONdev,9X-A0W,15,0.0,3.0,2.7,142.2,2007031600,2007031900,2.2,3.0,139.9,143.5,0.0,0.0,0,0,0,NaN,9X,a0w,NaN,NaN,NaN,
a1w.2007,TD,NONdev,9X-A1W,15,0.0,1.5,3.8,144.2,2007010312,2007010500,3.7,3.9,143.3,145.2,0.0,0.0,0,0,0,NaN,9X,a1w,NaN,NaN,NaN,
a2w.2007,TD,NONdev,9X-A2W,15,0.0,2.2,4.9,109.0,2007010412,2007010618,4.0,5.2,106.3,111.8,0.0,0.0,0,0,0,NaN,9X,a2w,NaN,NaN,NaN,
a3w.2007,TD,NONdev,9X-A3W,15,0.0,1.2,4.2,108.5,2007011706,2007011812,3.4,5.2,107.7,109.5,0.0,0.0,0,0,0,NaN,9X,a3w,NaN,NaN,NaN,
a5w.2007,TD,NONdev,9X-A5W,15,0.0,0.8,7.6,131.6,2007012500,2007012518,7.3,7.8,131.2,132.0,0.0,0.0,0,0,0,NaN,9X,a5w,NaN,NaN,NaN,
a6w.2007,TD,NONdev,9X-A6W,15,0.0,5.2,6.0,142.9,2007020812,2007021318,5.2,7.2,137.9,147.0,0.0,0.0,0,0,0,NaN,9X,a6w,NaN,NaN,NaN,
a7w.2007,TD,NONdev,9X-A7W,15,0.0,2.0,8.4,125.8,2007021506,2007021706,6.7,9.2,121.4,130.8,0.0,0.0,0,0,0,NaN,9X,a7w,NaN,NaN,NaN,
a8w.2007,TD,NONdev,9X-A8W,15,0.0,5.2,3.9,157.7,2007022118,2007022700,2.3,5.1,152.6,166.9,0.0,0.0,0,0,0,NaN,9X,a8w,NaN,NaN,NaN,
a9w.2007,TD,NONdev,9X-A9W,15,0.0,5.2,8.7,143.8,2007030200,2007030706,6.3,11.6,142.3,145.8,0.0,0.0,0,0,0,NaN,9X,a9w,NaN,NaN,NaN,
b0w.2007,TD,DEV,9X-B0W,25,0.2,4.8,6.2,148.0,2007051118,2007051612,3.0,8.7,143.5,151.7,0.1,0.0,0,0,0,NaN,NN,02w,NaN,NaN,NaN,
b1w.2007,TD,NONdev,9X-B1W,15,0.0,1.0,3.4,135.2,2007031818,2007031918,3.2,3.6,133.7,136.5,0.0,0.0,0,0,0,NaN,9X,b1w,NaN,NaN,NaN,
b2w.2007,TD,DEV,9X-B2W,25,0.0,3.5,5.3,158.0,2007032800,2007033112,3.4,7.5,155.1,162.3,0.1,0.0,0,0,0,NaN,NN,01w,NaN,NaN,NaN,
b3w.2007,TD,NONdev,9X-B3W,15,0.0,1.2,9.9,152.7,2007040918,2007041100,9.8,10.1,150.5,154.6,0.0,0.0,0,0,0,NaN,9X,b3w,NaN,NaN,NaN,
b4w.2007,TD,NONdev,9X-B4W,15,0.0,2.0,6.2,141.4,2007041300,2007041500,5.9,6.5,139.7,143.1,0.0,0.0,0,0,0,NaN,9X,b4w,NaN,NaN,NaN,
b5w.2007,TD,NONdev,9X-B5W,15,0.0,0.8,8.0,131.8,2007041700,2007041718,8.0,8.0,131.5,132.1,0.0,0.0,0,0,0,NaN,9X,b5w,NaN,NaN,NaN,
b6w.2007,TD,NONdev,9X-B6W,25,1.0,7.2,11.8,98.5,2007042618,2007050600,3.5,17.5,91.9,109.7,0.7,0.0,0,0,0,NaN,9X,b6w,NaN,NaN,NaN,
b7w.2007,TD,NONdev,9X-B7W,15,0.0,1.8,6.5,130.3,2007050312,2007050506,5.3,8.7,127.1,133.0,0.0,0.0,0,0,0,NaN,9X,b7w,NaN,NaN,NaN,
b8w.2007,TD,NONdev,9X-B8W,15,0.0,3.8,18.0,111.9,2007050712,2007051106,15.3,20.2,107.1,116.7,0.0,0.0,0,0,0,NaN,9X,b8w,NaN,NaN,NaN,
b9w.2007,TD,NONdev,9X-B9W,15,0.0,0.5,14.8,112.9,2007051106,2007051118,14.6,14.9,112.6,113.2,0.0,0.0,0,0,0,NaN,9X,b9w,NaN,NaN,NaN,
c0w.2007,TD,NONdev,9X-C0W,15,0.0,10.0,8.4,132.2,2007062818,2007070818,3.1,13.3,115.1,149.5,0.0,0.0,0,0,0,NaN,9X,c0w,NaN,NaN,NaN,
c1w.2007,TD,NONdev,9X-C1W,15,0.0,1.5,1.2,146.8,2007051812,2007052000,0.4,2.6,145.4,148.8,0.0,0.0,0,0,0,NaN,9X,c1w,NaN,NaN,NaN,
c2w.2007,TD,NONdev,9X-C2W,15,0.0,3.5,7.3,140.1,2007040912,2007041300,5.0,8.6,133.6,147.0,0.0,0.0,0,0,0,NaN,9X,c2w,NaN,NaN,NaN,
c3w.2007,TD,NONdev,9X-C3W,15,0.0,0.2,8.4,138.0,2007052718,2007052800,8.4,8.4,137.9,138.1,0.0,0.0,0,0,0,NaN,9X,c3w,NaN,NaN,NaN,
c4w.2007,TD,NONdev,9X-C4W,15,0.0,1.8,7.1,149.3,2007053106,2007060200,7.0,7.2,147.4,151.1,0.0,0.0,0,0,0,NaN,9X,c4w,NaN,NaN,NaN,
c5w.2007,TD,NONdev,9X-C5W,15,0.0,1.0,12.8,127.1,2007061400,2007061500,12.5,13.1,125.4,128.3,0.0,0.0,0,0,0,NaN,9X,c5w,NaN,NaN,NaN,
c6w.2007,TD,NONdev,9X-C6W,15,0.0,7.8,6.1,109.3,2007061600,2007062318,4.9,9.6,105.1,111.6,0.0,0.0,0,0,0,NaN,9X,c6w,NaN,NaN,NaN,
c8w.2007,TS,DEV,9X-C8W,35,0.0,1.0,18.5,137.4,2007080406,2007080506,17.9,19.2,136.0,139.0,0.2,0.0,0,0,0,NaN,NN,07w,NaN,NaN,NaN,
c9w.2007,TD,NONdev,9X-C9W,15,0.0,0.8,4.2,138.7,2007062318,2007062412,3.7,4.5,136.4,141.0,0.0,0.0,0,0,0,NaN,9X,c9w,NaN,NaN,NaN,
d0w.2007,TD,DEV,9X-D0W,20,0.0,1.0,15.5,127.9,2007080612,2007080712,14.0,17.4,126.2,129.0,0.0,0.0,0,0,0,NaN,NN,08w,NaN,NaN,NaN,
d1w.2007,TD,NONdev,9X-D1W,15,0.0,3.2,5.9,129.6,2007062906,2007070212,3.7,8.3,127.2,131.3,0.0,0.0,0,0,0,NaN,9X,d1w,NaN,NaN,NaN,
d2w.2007,TD,NONdev,9X-D2W,15,0.0,0.5,12.0,112.4,2007052712,2007052800,12.0,12.0,112.3,112.5,0.0,0.0,0,0,0,NaN,9X,d2w,NaN,NaN,NaN,
d3w.2007,TD,NONdev,9X-D3W,10,0.0,1.0,3.1,154.2,2007070300,2007070400,3.1,3.1,152.5,156.1,0.0,0.0,0,0,0,NaN,9X,d3w,NaN,NaN,NaN,
d4w.2007,TD,DEV,9X-D4W,30,0.0,3.2,4.0,148.8,2007070406,2007070712,3.0,5.4,147.1,150.8,0.1,0.0,0,0,0,NaN,NN,04w,NaN,NaN,NaN,
d5w.2007,TD,NONdev,9X-D5W,15,0.0,1.0,6.8,134.0,2007071500,2007071600,6.6,7.3,131.3,136.6,0.0,0.0,0,0,0,NaN,9X,d5w,NaN,NaN,NaN,
d6w.2007,TD,NONdev,9X-D6W,15,0.0,2.0,5.2,111.0,2007072412,2007072612,4.8,5.6,108.0,113.7,0.0,0.0,0,0,0,NaN,9X,d6w,NaN,NaN,NaN,
d7w.2007,TD,DEV,9X-D7W,20,0.0,1.5,19.0,153.9,2007072618,2007072806,18.0,20.5,150.8,156.4,0.0,0.0,0,0,0,NaN,NN,05w,NaN,NaN,NaN,
d8w.2007,TD,NONdev,9X-D8W,15,0.0,1.2,22.8,150.7,2007081506,2007081612,22.0,24.0,149.3,152.0,0.0,0.0,0,0,0,NaN,9X,d8w,NaN,NaN,NaN,
d9w.2007,TD,DEV,9X-D9W,30,0.0,2.8,11.6,113.9,2007073100,2007080218,10.2,12.5,112.9,114.9,0.1,0.0,0,0,0,NaN,NN,06w,NaN,NaN,NaN,
e0w.2007,TD,NONdev,9X-E0W,15,0.0,7.0,17.7,135.6,2007081900,2007082600,7.6,27.0,119.3,149.6,0.0,0.0,0,0,0,NaN,9X,e0w,NaN,NaN,NaN,
e1w.2007,TD,NONdev,9X-E1W,15,0.0,3.2,22.6,149.9,2007080812,2007081118,19.6,25.7,142.1,157.9,0.0,0.0,0,0,0,NaN,9X,e1w,NaN,NaN,NaN,
e2w.2007,TS,DEV,9X-E2W,35,0.2,1.0,17.5,111.4,2007070218,2007070406,14.9,18.3,110.1,112.6,0.1,0.0,0,0,0,NaN,NN,03w,NaN,NaN,NaN,
e3w.2007,TD,NONdev,9X-E3W,20,0.0,2.8,27.0,124.6,2007080900,2007081118,22.1,33.8,122.6,126.9,0.0,0.0,0,0,0,NaN,9X,e3w,NaN,NaN,NaN,
e4w.2007,TD,NONdev,9X-E4W,15,0.0,2.2,11.8,154.0,2007080818,2007081100,10.3,12.7,149.3,160.3,0.0,0.0,0,0,0,NaN,9X,e4w,NaN,NaN,NaN,
e5w.2007,TD,DEV,9X-E5W,30,0.2,1.8,17.6,135.7,2007081012,2007081206,16.9,18.4,135.3,136.1,0.1,0.0,0,0,0,NaN,NN,09w,NaN,NaN,NaN,
e6w.2007,TD,NONdev,9X-E6W,15,0.0,2.8,19.8,144.1,2007081200,2007081418,19.0,20.2,133.7,151.8,0.0,0.0,0,0,0,NaN,9X,e6w,NaN,NaN,NaN,
e7w.2007,TD,NONdev,9X-E7W,15,0.0,1.2,21.6,115.0,2007081500,2007081606,21.5,21.9,114.1,115.7,0.0,0.0,0,0,0,NaN,9X,e7w,NaN,NaN,NaN,
